RFID,nom,prenom,courriel,tel,adresse_postale,dateDeNaissance,idGrade,idRang,idDignite,idTitre,idGroupe
7877721103,Charles,Pauline,charles_pauline@tiscali.fr,8432307185,51191,1960-03-07,7,1.0,,1.0,8968339833
4308382894,Courtois,Luc,courtois_luc@free.fr,6645471167,40538,1964-11-10,5,1.0,1.0,,7713134262
3744976586,Delorme,Élise,delorme_élise@ifrance.com,7717913457,15583,1944-10-19,1,1.0,,,3794479229
6280086785,Leroux,Théophile,leroux_théophile@wanadoo.fr,3303829670,56420,1954-04-16,1,,,,7970714119
8887033240,Le Gall,Stéphanie,le gall_stéphanie@free.fr,2031347623,73594,1996-09-09,2,,,,8358901571
2267816525,Descamps,Agathe,descamps_agathe@voila.fr,5494226981,21399,1959-02-16,5,1.0,,3.0,5735019659
7006446714,Legendre,Anne,legendre_anne@laposte.net,9427278452,57887,1992-08-07,1,,,,3706917257
7455430821,Godard,Paulette,godard_paulette@ifrance.com,5511296149,43638,1955-07-26,4,1.0,,,8659756853
4432239002,Guilbert,Adrien,guilbert_adrien@wanadoo.fr,2581706279,23988,1995-12-23,1,,,,7382270602
5154733104,Traore,Benoît,traore_benoît@tiscali.fr,0582059136,23385,1987-01-16,7,,2.0,3.0,7999060766
2914219483,Bernard,Noémi,bernard_noémi@wanadoo.fr,6896980133,87484,1982-04-14,5,2.0,1.0,3.0,8654757824
6415301137,Robert,Emmanuelle,robert_emmanuelle@live.com,4136537690,93974,1966-10-12,7,,2.0,,5877273185
5276873184,Perrier,Pierre,perrier_pierre@hotmail.fr,1371436147,65717,1954-03-02,5,1.0,,2.0,9072452886
7511407976,Ferreira,André,ferreira_andré@tele2.fr,5590561132,81122,1989-06-10,1,,,,5366105887
6993864584,Marchal,Susan,marchal_susan@sfr.fr,7220333328,10678,2003-11-10,4,1.0,2.0,1.0,8654757824
3866846112,Lambert,Pénélope,lambert_pénélope@club-internet.fr,3398702813,71084,1959-04-15,1,,,,7935233743
3197424567,Gautier,Yves,gautier_yves@noos.fr,6560495867,40431,1999-04-23,3,,,,3498683433
9626879762,Leroy,Maggie,leroy_maggie@free.fr,0695137632,75078,1967-09-19,4,,2.0,3.0,7738358497
2496503921,Gaillard,Olivie,gaillard_olivie@free.fr,0976711684,12107,2001-08-02,1,,,,3431295653
7830486833,Valentin,François,valentin_françois@live.com,8375403385,29126,1991-09-15,1,,,,8894037471
5340259688,Guillou,Adrienne,guillou_adrienne@gmail.com,0421962429,91092,2002-06-30,1,,,,8970764836
3166586395,Besnard,Gilles,besnard_gilles@laposte.net,1366767929,64616,1955-01-28,1,,1.0,,3322968243
3679563170,Guyot,Élisabeth,guyot_élisabeth@laposte.net,1387587772,76938,1941-12-20,1,,,,2020403668
8547626568,Rodriguez,Hugues,rodriguez_hugues@bouygtel.fr,5059036013,46458,1985-11-14,1,,2.0,3.0,6723047732
1451622666,Lebrun,Adrien,lebrun_adrien@club-internet.fr,1571457292,18443,1996-01-07,1,,,,8894037471
5353554774,Gomes,André,gomes_andré@hotmail.fr,5337868715,57876,1937-09-11,1,,,,7459875960
6161088218,Pineau,Zoé,pineau_zoé@noos.fr,4508156191,90485,1945-02-11,1,1.0,,,4215140589
1978766491,Giraud,Noémi,giraud_noémi@live.com,9118413047,16671,1993-04-27,1,,,,5877273185
7020826189,Vallet,Marcel,vallet_marcel@live.com,0153316588,90390,1948-03-16,4,2.0,2.0,3.0,8970764836
6089675150,Foucher,Louise,foucher_louise@hotmail.fr,2483693732,90467,1952-04-20,1,,,,6723047732
9271678192,Bonnet,Astrid,bonnet_astrid@gmail.com,7646029241,90612,1958-04-17,2,,,,8358901571
8381060588,Wagner,Frédérique,wagner_frédérique@noos.fr,9292534903,15505,1939-05-07,1,,,,8876413213
6432979211,Maillet,Véronique,maillet_véronique@wanadoo.fr,3252457346,99960,1959-04-03,1,,,,2548185245
1595404451,Picard,Étienne,picard_étienne@free.fr,3987063331,11117,1939-12-27,1,,,,8965668535
7832444884,Georges,Joséphine,georges_joséphine@wanadoo.fr,8313069217,58044,1991-04-12,5,,2.0,1.0,8894037471
5774678800,Ollivier,Philippine,ollivier_philippine@tiscali.fr,2234958788,19827,1969-08-31,1,,,1.0,3462875358
3530049792,Joubert,Michel,joubert_michel@ifrance.com,0921255618,20323,1948-08-09,1,2.0,,,3030842343
8396948999,Laurent,Élise,laurent_élise@noos.fr,5391242417,90677,1994-08-04,1,,,,3706917257
1593231566,Torres,Michelle,torres_michelle@sfr.fr,6136168943,41954,1964-01-01,1,,,,8054020172
3661171539,Masson,Jérôme,masson_jérôme@wanadoo.fr,8522044662,28622,1940-10-03,1,,1.0,,7970714119
7442184073,Vallet,Roland,vallet_roland@gmail.com,5939913306,64831,1981-09-15,2,,,,8970764836
9809703085,Duval,Frédéric,duval_frédéric@yahoo.fr,1118516329,13549,1954-10-06,1,,,,8894037471
4305461194,Rémy,Stéphane,rémy_stéphane@laposte.net,5160195458,56074,1989-11-15,4,,,1.0,8894037471
1561662821,Lacombe,Victoire,lacombe_victoire@wanadoo.fr,5375314251,98894,1980-04-29,1,,,,5664845352
4091428519,Jacquot,Virginie,jacquot_virginie@sfr.fr,4893995587,35881,1956-05-28,1,,,,8054020172
1844644827,Bousquet,Christiane,bousquet_christiane@yahoo.fr,3747296519,80232,1938-01-05,3,,,,2020403668
3315976263,Rocher,Hugues,rocher_hugues@bouygtel.fr,0181181149,50124,1940-08-07,1,2.0,,,3794479229
9051164377,Gomez,Mathilde,gomez_mathilde@voila.fr,3742480499,53561,1996-02-13,5,,,2.0,4551123954
5602870222,Bouvier,Marthe,bouvier_marthe@tiscali.fr,8673183968,78875,1984-08-07,7,1.0,1.0,3.0,8965668535
7659580207,Marion,Roland,marion_roland@sfr.fr,9190162710,73109,1987-02-14,1,,1.0,,2829168963
5587075087,Parent,Jérôme,parent_jérôme@free.fr,0187174955,13445,1976-12-25,7,2.0,2.0,1.0,5664845352
5182749897,Dumas,Lucy,dumas_lucy@hotmail.fr,5238377061,98138,1982-11-12,1,2.0,,,2945965350
5211525921,Didier,Marc,didier_marc@live.com,5945449068,44374,1943-09-17,1,2.0,,,1214418842
3164528260,Huet,Josette,huet_josette@live.com,3106894228,65583,1940-03-14,1,,,,2587949349
1463687784,Lebrun,Édith,lebrun_édith@bouygtel.fr,2994796985,20017,1950-05-12,1,1.0,,,1231672681
1732841172,Picard,Robert,picard_robert@orange.fr,8708935170,14432,1936-09-20,7,1.0,3.0,2.0,2945965350
1767906657,Ollivier,Michelle,ollivier_michelle@tele2.fr,0430268916,24531,1961-11-28,1,,,,2740300555
7021062073,Pires,Thierry,pires_thierry@wanadoo.fr,2736108725,16809,1960-05-13,3,,,,4526121248
9398392830,Gauthier,Alice,gauthier_alice@hotmail.fr,4655180968,99036,1967-09-19,4,2.0,,,4437557565
8460915562,Joseph,Jérôme,joseph_jérôme@laposte.net,7229851084,46474,2007-10-18,1,,,2.0,1291576549
7846489312,Meyer,Gabrielle,meyer_gabrielle@hotmail.fr,1157568192,40341,1997-03-26,4,,1.0,2.0,9049066537
3159577303,Dufour,Dorothée,dufour_dorothée@tiscali.fr,0942047708,51530,1966-09-02,3,,,,8236279818
6571206400,Faivre,Raymond,faivre_raymond@live.com,6260236130,57413,1995-01-21,1,,,,8358901571
4653995818,Rousset,Thibaut,rousset_thibaut@noos.fr,9932515046,69273,1977-08-17,1,,,2.0,9072452886
3522599040,Vincent,Martin,vincent_martin@free.fr,7189541740,45769,1944-05-01,1,,,,2548185245
2417158931,Cousin,Diane,cousin_diane@hotmail.fr,1800080558,28727,1948-06-06,7,1.0,1.0,3.0,4551123954
8291876496,Mathieu,David,mathieu_david@club-internet.fr,2808713530,43706,1960-02-01,1,,2.0,,8970764836
7677239260,Costa,Adrienne,costa_adrienne@live.com,8948521983,66754,1995-02-28,1,,,1.0,2557438769
3271875871,Briand,Anaïs,briand_anaïs@laposte.net,9358665505,57410,1959-11-29,1,,,,8968339833
9855902796,Bodin,Charlotte,bodin_charlotte@yahoo.fr,4903984289,81311,1999-06-16,1,2.0,,,4551123954
7461701209,Hebert,Suzanne,hebert_suzanne@gmail.com,9026353921,64569,1940-03-26,2,,,,4526121248
2265931015,Charrier,Maurice,charrier_maurice@sfr.fr,2634803930,46756,2007-11-04,1,,,,5366105887
4349620969,Dupuis,Margaret,dupuis_margaret@dbmail.com,1540711269,18347,1949-09-01,5,2.0,2.0,3.0,3462875358
4843729528,Marques,Caroline,marques_caroline@noos.fr,8385427316,59985,1966-04-29,7,,,3.0,2829168963
4354422532,Lefebvre,Sylvie,lefebvre_sylvie@hotmail.fr,7983199371,78619,2003-01-28,1,,,,1177570259
7181607430,Blondel,Stéphane,blondel_stéphane@laposte.net,2270453092,52461,1938-01-09,1,,,,5877273185
6501186625,Marty,Thibaut,marty_thibaut@ifrance.com,3738470484,62599,2007-04-18,5,2.0,3.0,2.0,2447515723
2779524542,Munoz,Danielle,munoz_danielle@live.com,6138348024,84224,1966-06-02,1,,,,7459875960
9776332667,Roger,Gilles,roger_gilles@wanadoo.fr,8337529626,46367,1956-06-02,7,,3.0,1.0,7970714119
3075044460,Laporte,Pierre,laporte_pierre@hotmail.fr,1004809889,13205,1954-11-11,1,,,,3794479229
2051091906,Julien,Alice,julien_alice@wanadoo.fr,3679011966,15568,1943-07-08,2,,,,1291576549
3643317952,Henry,Alex,henry_alex@tele2.fr,7472856164,40783,1960-11-30,2,,,,7738358497
2399546224,Gomez,Charles,gomez_charles@bouygtel.fr,7995740431,42900,1994-12-28,1,,,,1291576549
3753106444,Leclerc,Marthe,leclerc_marthe@wanadoo.fr,7492256047,84713,1960-07-13,4,2.0,1.0,3.0,8030289257
5096817032,Dufour,Guillaume,dufour_guillaume@laposte.net,8254176335,97856,1982-07-06,1,,,,1291576549
4504773626,Berger,Noémi,berger_noémi@gmail.com,9438286699,99882,1980-06-11,1,,,,7919556033
2656422910,Navarro,Georges,navarro_georges@orange.fr,8825735349,98394,1964-02-28,3,,,3.0,4526121248
9622354285,Guichard,Rémy,guichard_rémy@orange.fr,1006104744,79137,1957-04-17,1,,,,8894037471
1609887339,Bailly,Franck,bailly_franck@live.com,7496546598,22423,1996-04-09,2,,,,2548185245
8062372590,Henry,Véronique,henry_véronique@wanadoo.fr,3591729767,35239,1982-02-07,3,,,,9252043601
4138830677,Moreno,Denis,moreno_denis@hotmail.fr,5288989740,80045,1988-07-04,1,,,,2587949349
6663817778,Valentin,Sébastien,valentin_sébastien@wanadoo.fr,3272185087,91288,1975-12-22,3,,,2.0,8283391142
4848408406,Giraud,Agathe,giraud_agathe@tiscali.fr,6260552492,27393,1997-10-19,1,,1.0,,3462875358
4469424770,Perrier,Martine,perrier_martine@tele2.fr,5976815585,60203,1996-08-10,1,2.0,,,6774919538
4972415487,Lebrun,Cécile,lebrun_cécile@sfr.fr,8529288991,90032,1956-01-16,1,,,,3538927591
5280356224,Torres,Gabrielle,torres_gabrielle@hotmail.fr,5237331151,89276,2004-07-17,1,2.0,,,9252043601
7089286836,Hubert,Édouard,hubert_édouard@voila.fr,2322758432,56316,2002-06-01,1,,1.0,,5877273185
7355472649,Pierre,Capucine,pierre_capucine@tele2.fr,9544176937,98360,1983-02-24,1,,,,3038314745
2565543900,Gaillard,Thierry,gaillard_thierry@sfr.fr,1021960773,43148,1959-01-26,5,1.0,,1.0,3322968243
4325130042,Rivière,Alice,rivière_alice@gmail.com,4764964719,16302,1951-07-20,1,,,1.0,9049066537
8068697346,Leclerc,Maurice,leclerc_maurice@tele2.fr,4517063831,29267,1935-07-06,2,,,,2557438769
8186388116,Marques,Laure,marques_laure@free.fr,0659574335,82097,1995-09-14,1,,,3.0,7738358497
2647612885,Moulin,Roland,moulin_roland@hotmail.fr,3600244015,71217,1976-10-17,3,,,,1231672681
1829943795,Garnier,Alix,garnier_alix@dbmail.com,3595182330,20048,1941-09-09,1,,,,2548185245
7168413784,Carpentier,Arnaude,carpentier_arnaude@tele2.fr,8540386332,24393,2002-01-19,1,,,,4215140589
2635421814,Tessier,Gérard,tessier_gérard@free.fr,5720368976,91407,2000-11-10,3,1.0,,,6774919538
1921436499,Imbert,Frédéric,imbert_frédéric@bouygtel.fr,1017650024,27058,1937-10-25,7,1.0,3.0,,3498683433
6814591238,Guibert,Paul,guibert_paul@ifrance.com,4317866764,47332,1968-03-07,1,,,,3392728242
5369677500,Leclerc,Michelle,leclerc_michelle@hotmail.fr,6792349231,50514,1960-01-27,2,,,,2829168963
2911329029,Adam,Jérôme,adam_jérôme@noos.fr,0621732802,94229,1939-02-24,1,,,,7459875960
3872413382,Rocher,Odette,rocher_odette@live.com,3108519890,42784,1937-12-28,1,,,,9483825704
2724977543,Grégoire,Luc,grégoire_luc@bouygtel.fr,1492367749,53382,2002-12-20,1,,,,8894037471
5176597452,Coulon,Alex,coulon_alex@bouygtel.fr,9325214996,55703,1989-07-11,4,,,2.0,3392728242
9944992142,Klein,Véronique,klein_véronique@wanadoo.fr,5718876920,76514,1984-09-20,5,,1.0,2.0,3038314745
1709270137,Carre,René,carre_rené@ifrance.com,6780967319,80538,1997-05-02,3,,,,3706917257
3271080734,Raynaud,Robert,raynaud_robert@tiscali.fr,4221031204,99627,2004-04-16,1,,,,2587949349
9440950086,Boyer,Susan,boyer_susan@noos.fr,4642935128,17160,1952-04-19,2,,,,8030289257
1296068638,Marty,Dorothée,marty_dorothée@bouygtel.fr,2580626937,72677,1972-02-16,1,,,,8970764836
7458107029,Rey,Bernadette,rey_bernadette@ifrance.com,4853409629,16232,1984-05-27,5,1.0,2.0,3.0,9072452886
4757926568,Le Roux,Antoine,le roux_antoine@yahoo.fr,7463128022,23148,1935-10-22,1,,,,3030842343
2787481441,Lemonnier,Monique,lemonnier_monique@club-internet.fr,6356511950,17391,1949-05-19,1,,,,7713134262
3430843764,Boyer,Émilie,boyer_émilie@voila.fr,6663517523,49171,1942-05-22,1,,,,7999060766
3105936719,Vasseur,Émilie,vasseur_émilie@voila.fr,6326150745,95375,2002-10-19,1,1.0,,,4437557565
1780742215,Roussel,Roger,roussel_roger@hotmail.fr,2079498234,99046,1953-12-24,4,,1.0,3.0,4946804105
4821494326,Poirier,Antoine,poirier_antoine@dbmail.com,7816440460,82955,1943-09-01,1,,,,7970714119
8004799601,Auger,Martine,auger_martine@wanadoo.fr,1957386155,25871,1994-12-16,4,,1.0,1.0,6774919538
1432978696,Chrétien,Denise,chrétien_denise@dbmail.com,9703264768,39433,1961-04-10,1,,,,8358901571
4536785638,Barbier,Patricia,barbier_patricia@hotmail.fr,3125375476,77785,2006-08-12,4,2.0,,2.0,2447515723
4784622237,Langlois,Bernadette,langlois_bernadette@tele2.fr,8039638039,96828,2005-12-28,4,2.0,3.0,,6774919538
8849888866,Lemaître,Margaux,lemaître_margaux@orange.fr,3560641738,37828,2002-07-14,1,,,,9049066537
6802880962,Legendre,David,legendre_david@live.com,8490949224,59675,2001-11-14,1,,,,2829168963
8863855430,Philippe,Laetitia,philippe_laetitia@tiscali.fr,5380555938,40708,1935-06-20,1,,,,1177570259
5375814765,Marchal,Émile,marchal_émile@hotmail.fr,5987600928,48572,1953-04-25,3,,,,6774919538
1078239849,Dupré,Jeannine,dupré_jeannine@noos.fr,7487253172,78703,2005-05-02,2,,,,4437557565
9389325155,Delannoy,Frédérique,delannoy_frédérique@bouygtel.fr,5953587954,88219,2007-08-15,1,,,,7919556033
7926519744,Torres,Adèle,torres_adèle@tele2.fr,1219761981,11365,1974-01-02,4,2.0,3.0,1.0,3794479229
9451874154,Marion,Caroline,marion_caroline@yahoo.fr,0902778442,85500,1971-08-27,1,,,,8965668535
5403262088,Bonnin,Agnès,bonnin_agnès@sfr.fr,8423191651,75975,1975-12-10,7,2.0,1.0,1.0,5480431818
2480984470,Gomez,Guy,gomez_guy@ifrance.com,7794087778,12082,1998-12-20,4,1.0,3.0,,8358901571
2890119666,Masse,Margaret,masse_margaret@free.fr,6206824685,14649,1939-04-09,1,,3.0,2.0,2740300555
5286926037,Le Goff,Robert,le goff_robert@live.com,7305499646,33637,1958-02-23,7,1.0,1.0,1.0,7970714119
1574863398,Royer,Margaud,royer_margaud@sfr.fr,0933486777,23386,1981-02-23,1,,,,5366105887
7978691594,Charles,Alfred,charles_alfred@yahoo.fr,1577653379,76761,1981-04-20,2,,,,7382270602
9324074965,Joubert,Matthieu,joubert_matthieu@live.com,3936534530,83785,1965-02-16,1,,,,8654757824
4297115714,Lefort,Pierre,lefort_pierre@noos.fr,2023132389,67231,1969-10-13,1,,,1.0,8283391142
7044687901,Labbé,Stéphanie,labbé_stéphanie@tiscali.fr,9807237999,55332,1950-12-11,1,,,,2587949349
8911191102,Pineau,Alice,pineau_alice@orange.fr,9403651195,38182,1980-09-06,4,2.0,,3.0,7967163462
3835264240,Bonnin,Isaac,bonnin_isaac@voila.fr,4063449864,54686,1993-11-04,1,,,,7738358497
8997831985,Boutin,Jacques,boutin_jacques@voila.fr,0666626391,57929,1999-05-08,1,,,,3431295653
7284398676,Louis,Gilles,louis_gilles@wanadoo.fr,0731023523,48760,1959-04-11,1,,,,3030842343
2768228988,Perrot,Françoise,perrot_françoise@laposte.net,7863873207,62911,1942-05-25,3,,,2.0,6793816076
2695960599,Benoit,Alice,benoit_alice@wanadoo.fr,4735270600,42099,2004-01-04,2,,,,8654757824
6791240970,Guyot,Colette,guyot_colette@wanadoo.fr,3873590760,23796,1998-04-16,7,2.0,1.0,1.0,8876413213
6285270335,Blanchet,Claire,blanchet_claire@dbmail.com,0981743005,44306,2000-02-03,1,1.0,,,2740300555
9557698142,Lamy,David,lamy_david@ifrance.com,0863924007,98189,1993-04-05,1,,,,3538927591
9139749375,Garcia,Jeanne,garcia_jeanne@free.fr,5842417364,84044,1979-07-16,1,,,,2587949349
6559444292,Valette,Marcel,valette_marcel@bouygtel.fr,2059856432,21582,1964-10-02,4,1.0,2.0,,2587949349
9558316413,Becker,Eugène,becker_eugène@club-internet.fr,8039243240,16716,1959-07-28,1,,,3.0,1177570259
1021907177,Thierry,Françoise,thierry_françoise@tiscali.fr,9863911258,68310,1951-02-01,1,,,,2447515723
8531767199,Bonnet,Agathe,bonnet_agathe@tele2.fr,3381281449,45711,1998-02-09,1,2.0,,,3038314745
2733536379,Léger,Denis,léger_denis@noos.fr,3130661298,40798,1987-12-07,4,1.0,3.0,,2945965350
4897916919,Turpin,Richard,turpin_richard@noos.fr,3100907711,46992,2003-10-12,1,,,,5622045506
9812658397,Lesage,Roland,lesage_roland@ifrance.com,9924083870,66268,1968-03-30,1,,3.0,,4131911466
5644535067,Gay,Lucy,gay_lucy@gmail.com,0875633268,52970,2002-07-20,1,,,,7919556033
9227359125,Bertrand,Alexandrie,bertrand_alexandrie@orange.fr,4415702186,74052,1981-09-27,4,1.0,3.0,,4551123954
9828617454,Mathieu,Isabelle,mathieu_isabelle@sfr.fr,7051885574,96691,1979-07-18,1,,,2.0,3706917257
5125582048,Auger,Adrien,auger_adrien@sfr.fr,0827227378,41034,1937-12-09,7,,1.0,,1083144912
7802341644,Morin,Eugène,morin_eugène@noos.fr,4924256085,98915,1991-08-24,1,,2.0,,8030289257
4405579717,Morvan,Roland,morvan_roland@hotmail.fr,3282524308,16415,1955-05-19,1,,,,5664845352
5859911333,Da Silva,Noël,da silva_noël@noos.fr,4388385757,34867,1942-07-10,1,,,,9072452886
7186705506,Boulanger,Hortense,boulanger_hortense@wanadoo.fr,9534141068,19974,1971-09-30,1,,,,5480431818
3748198352,Bourdon,Claude,bourdon_claude@club-internet.fr,1456806583,66821,1993-04-15,1,,,,2587949349
1047649454,Delmas,Amélie,delmas_amélie@ifrance.com,2697669588,32710,1990-09-07,1,,,,6793816076
6612994098,Bertrand,Cécile,bertrand_cécile@hotmail.fr,2781342068,93211,1940-09-24,1,,,,4437557565
8011844351,Rémy,Timothée,rémy_timothée@live.com,6226451525,75322,1940-10-05,5,,2.0,1.0,6050453215
